policy,block,episode,seed,random_action_seed,score,steps,steps_survived,food_collected,snake_length,steps_since_food,cause_of_death,end_reason,won,terminated,truncated,turn_ratio,episode_reward
Classic,500000,30,500029,,180,292,291,18,21,8,self,self,False,True,False,0.6061643835616438,167.2700000000002
Classic,500000,31,500030,,270,439,438,27,30,4,self,self,False,True,False,0.5990888382687927,255.89000000000124
Classic,500000,32,500031,,440,749,748,44,47,22,self,self,False,True,False,0.630173564753004,422.96000000000475
Classic,500000,33,500032,,400,783,782,40,43,37,self,self,False,True,False,0.6079182630906769,382.5800000000047
Classic,500000,34,500033,,300,527,526,30,33,11,self,self,False,True,False,0.5635673624288425,285.0400000000022
Classic,500000,35,500034,,380,600,599,38,41,9,self,self,False,True,False,0.5966666666666667,364.3900000000032
Classic,500000,36,500035,,300,586,585,30,33,18,self,self,False,True,False,0.6382252559726962,284.4500000000026
Classic,500000,37,500036,,350,513,512,35,38,9,self,self,False,True,False,0.6744639376218323,335.23000000000246
Classic,500000,38,500037,,290,527,526,29,32,21,self,self,False,True,False,0.6129032258064516,275.03000000000236
Classic,500000,39,500038,,270,442,441,27,30,18,self,self,False,True,False,0.5656108597285068,255.86000000000166
Classic,500000,40,500039,,280,532,531,28,31,4,self,self,False,True,False,0.6353383458646616,264.9700000000016
Classic,500000,41,500040,,200,349,348,20,23,19,self,self,False,True,False,0.6905444126074498,186.7200000000003
Classic,500000,42,500041,,20,51,50,2,5,4,wall,wall,False,True,False,0.6274509803921569,9.52
Classic,500000,43,500042,,230,365,364,23,26,26,self,self,False,True,False,0.6328767123287671,216.5900000000005
Classic,500000,44,500043,,120,168,167,12,15,15,self,self,False,True,False,0.6845238095238095,108.44999999999963
Classic,500000,45,500044,,550,933,932,55,58,7,self,self,False,True,False,0.5927116827438371,531.2300000000062
Classic,500000,46,500045,,130,205,204,13,16,3,self,self,False,True,False,0.5560975609756098,118.08999999999955
Classic,500000,47,500046,,190,346,345,19,22,5,self,self,False,True,False,0.6473988439306358,176.74000000000012
Classic,500000,48,500047,,310,629,628,31,34,28,self,self,False,True,False,0.5930047694753577,294.03000000000253
Classic,500000,49,500048,,350,683,682,35,38,15,self,self,False,True,False,0.6456808199121523,333.53000000000293
Classic,500000,50,500049,,370,596,595,37,40,5,self,self,False,True,False,0.6493288590604027,354.4200000000025
Classic,500000,51,500050,,420,717,716,42,45,24,self,self,False,True,False,0.6178521617852162,403.26000000000363
